node_id,center_lat,center_lon,radius_meters,elephant_count,sighting_count,elephants,active_hours,avg_ndvi,avg_human_distance,protected,land_cover
16,7.284904619963115,81.78848498672131,1016.1787177367949,2,244,"['Sugala', 'Udani']","[12, 0, 16]",0.6544106557377048,2859.002885983607,0,40.0
17,7.148664029469387,81.74958931918367,447.6126607962652,1,49,['Sugala'],"[12, 8, 4]",0.8590469387755102,2796.4105152040815,0,40.0
18,7.1716282245,81.73597821666665,154.55499574030947,1,6,['Sugala'],"[16, 20]",0.7080000000000001,3501.0693395,0,30.0
19,7.175792361600001,81.75149396700002,311.9013630154361,1,20,['Sugala'],"[16, 20, 0]",0.784395,4738.8579561,0,40.0
20,7.280976514624999,81.65633214,178.59717598486657,1,8,['Sugala'],"[16, 20, 0]",0.655325,2555.0157085,1,10.0
21,7.325965257723077,81.58970331876922,1306.5659884185684,1,130,['Sugala'],"[0, 16, 12]",0.8139992307692308,2669.092682461538,0,10.0
22,7.3052476396,81.786886692,233.2871075573424,2,5,"['Sugala', 'Udani']","[16, 20, 0]",0.7305,1918.0786258,0,40.0
23,7.322476659133333,81.74355393333333,363.74519905014137,2,15,"['Sugala', 'Udani']","[16, 20, 0]",0.8310466666666668,1667.1300059333332,0,40.0
24,7.2966468694,81.650949646,183.23039678520155,1,5,['Sugala'],"[12, 8, 4]",0.8884000000000001,2338.9231844,1,10.0
25,7.491324605625,81.57287352750001,266.05914556140795,1,8,['Sugala'],"[16, 20, 4]",0.8775875,2896.360656625,1,10.0
26,7.508178103333332,81.56203848555555,419.9337643763939,1,9,['Sugala'],"[16, 20, 0]",0.7894444444444445,1115.6496619222223,1,10.0
27,7.499293822,81.567951678,214.10063931439532,1,5,['Sugala'],"[4, 20, 0]",0.8272999999999999,1928.2940056,1,10.0
28,7.2643512931666665,81.72586508333333,101.4528310490431,1,6,['Udani'],"[4, 12, 0]",0.6542,3268.1322365,0,40.0
29,7.339598276799999,81.728180118,249.83648301841876,1,5,['Udani'],"[16, 0, 20]",0.9007200000000001,906.67404362,0,40.0
30,7.3749678074,81.742220833,304.7746315222595,1,10,['Udani'],"[20, 0, 4]",0.8246600000000001,1373.9076010900003,0,30.0
31,8.030087746090912,80.85777284363635,244.8698713994776,2,11,"['Samudra', 'Nancy']","[20, 16, 12]",0.857890909090909,4485.595304636364,1,30.0
32,8.069735802,80.8776513742857,289.56251816227564,2,7,"['Samudra', 'Nancy']","[16, 20, 0]",0.8765,776.6292689857144,1,10.0
33,8.094298504631503,80.79906600036996,2382.3385706901736,5,2730,"['Samudra', 'Hurululiya', 'Mihiri', 'Chandi', 'Nancy']","[20, 16, 0]",0.8160124542124542,2221.380334420674,1,10.0
34,8.067046329663794,80.83914802827586,787.3541962722542,3,116,"['Samudra', 'Mihiri', 'Nancy']","[16, 0, 8]",0.8817956896551722,4267.90558038793,1,10.0
35,8.047071037666667,80.84185167666666,259.96339452325486,1,6,['Samudra'],"[8, 20, 0]",0.8693,3170.5450460000006,1,10.0
36,8.030985261385712,80.82861114885715,990.151964165663,3,70,"['Samudra', 'Mihiri', 'Nancy']","[0, 16, 20]",0.8396142857142856,1632.2275546442856,1,10.0
37,7.891903364682244,80.95396908196261,1240.2522909836364,1,107,['Samudra'],"[12, 16, 20]",0.685585046728972,2082.8742245149533,0,30.0
38,7.918929134142857,80.96002311857141,289.9803531026602,1,7,['Samudra'],"[0, 16, 20]",0.7662142857142856,3502.212172142857,1,30.0
39,8.084463087916667,80.88291736458334,602.4418360212585,2,24,"['Samudra', 'Nancy']","[0, 4, 8]",0.8473916666666668,1344.5761518625002,1,10.0
40,8.09649684975,80.87117558,224.84640781426356,1,8,['Samudra'],"[0, 8, 12]",0.8872,1399.7684037499998,1,10.0
41,8.01266341463158,80.85773752157894,636.3320871222651,2,19,"['Samudra', 'Nancy']","[20, 16, 0]",0.7174052631578948,4060.649820631578,1,30.0
42,8.027151966799998,80.80859424266667,489.580267813826,2,15,"['Samudra', 'Mihiri']","[20, 16, 0]",0.7878999999999999,1169.8782436466668,1,10.0
43,8.045971368428571,80.87149497142858,296.08755827499425,2,7,"['Samudra', 'Nancy']","[0, 20, 4]",0.8055428571428571,2636.6309498571427,1,30.0
44,8.00405185674074,80.57345176712963,555.0682145823547,1,108,['Kala'],"[12, 8, 0]",0.18617407407407408,1857.6401443425925,1,10.0
45,8.0102359928,80.58986972533333,483.86542748033656,1,15,['Kala'],"[20, 0, 4]",0.2975466666666666,1011.3291166266666,1,10.0
46,7.96536932757814,80.56081932970189,2450.5379922926227,1,1107,['Kala'],"[0, 16, 12]",0.5265299909665764,1176.5760934791508,1,10.0
47,7.94758110125,80.60851406,105.44335402718889,1,4,['Kala'],"[20, 16, 0]",0.6484249999999999,1154.5220901500002,0,40.0
48,6.381364553890663,81.08537946133907,3060.685542320991,1,814,['Sakunthala'],"[12, 0, 16]",0.8354351351351352,2895.1904071992626,1,10.0
49,6.301899440943448,81.15654005715862,2406.9886294985345,1,725,['Sakunthala'],"[0, 20, 4]",0.8506248275862068,2840.900296289793,0,10.0
50,6.263390181142857,81.17264077571429,246.71842614745466,1,7,['Sakunthala'],"[20, 0, 4]",0.8154714285714286,3105.403599999999,0,10.0
51,6.282913426,81.1342269875,244.86020228236018,1,4,['Sakunthala'],"[12, 4, 16]",0.6892999999999999,3599.5105845,0,10.0
52,6.34966853025,81.1108597575,223.29709849541672,1,4,['Sakunthala'],"[0, 4, 8]",0.8872,2785.3162704999995,1,10.0
53,7.8628752468630125,80.05468916910958,1431.532065323712,2,146,"['Wira', 'Kumari']","[12, 4, 20]",0.8474657534246575,717.3874581773973,0,10.0
54,7.812482223900709,80.07194816585105,2271.8823096916058,2,846,"['Wira', 'Kumari']","[12, 4, 20]",0.8068158392434988,721.4469132043262,0,10.0
55,7.835840799,80.11341234784314,708.3958983621109,1,51,['Wira'],"[8, 4, 12]",0.8240725490196078,1372.2618491039216,0,10.0
56,7.8413631395,80.12933051875,308.16336508007544,1,8,['Wira'],"[16, 20, 0]",0.824925,905.1826502375,0,10.0
57,7.84037092348,80.15586463120002,306.84045965881984,1,25,['Wira'],"[4, 8, 0]",0.850048,928.312141468,0,10.0
58,7.826393560999999,80.158721816,279.40472477986,1,10,['Wira'],"[20, 16, 0]",0.84418,1010.7990249399998,0,10.0
59,7.8203013995,80.14806320125,204.35337063300142,1,8,['Wira'],"[12, 4, 16]",0.7463249999999999,502.7194332125,0,10.0
60,7.827630776333333,80.20275627533331,322.63622469573164,1,15,['Wira'],"[0, 4, 8]",0.7611866666666666,676.4224693866666,0,10.0
61,7.793180245125,80.08850809124999,226.45395489580048,1,8,['Wira'],"[16, 4, 0]",0.7663500000000001,942.2541740375,0,10.0
62,7.806017175415731,80.01133947404495,727.6861404888223,1,89,['Wira'],"[8, 12, 0]",0.7801539325842697,611.1255822764044,0,10.0
63,7.865161466823531,80.07676667941176,493.3657899898796,2,51,"['Wira', 'Kumari']","[4, 12, 20]",0.7822686274509805,865.0093316901961,0,10.0
64,7.8400400804,80.05140836000001,84.82114026636809,1,5,['Wira'],"[20, 16]",0.7927,368.47817514,0,40.0
65,7.8510383774090915,80.0922376806818,749.2204515238108,2,44,"['Wira', 'Kumari']","[20, 12, 4]",0.7692159090909091,649.4514832029546,0,10.0
66,7.791419693058822,80.05047362588236,280.0403797458804,1,17,['Wira'],"[4, 12, 8]",0.795335294117647,747.1280062882352,0,10.0
67,7.804327931625,80.0331345825,256.82960411158786,1,8,['Wira'],"[16, 0, 20]",0.7461749999999999,372.8646979125,0,10.0
68,7.8352349586,80.024937728,245.13717600870018,1,10,['Wira'],"[20, 0, 16]",0.7555499999999998,802.01704977,0,10.0
69,7.871690435275863,80.09887479000002,507.7249005296673,1,29,['Wira'],"[0, 4, 8]",0.7689689655172415,662.3644701689655,0,10.0
70,7.8633641655833335,80.10655455416666,262.9237174396745,1,12,['Wira'],"[16, 0, 8]",0.7589833333333332,466.90050195833334,0,10.0
71,8.01591721543182,80.18465964886363,779.9365865826547,1,44,['Wira'],"[8, 12, 4]",0.8503727272727274,742.0545424886363,1,10.0
72,8.010204425857143,80.19413116999999,208.22781684146736,1,7,['Wira'],"[16, 20, 0]",0.8234000000000001,822.8924205428572,0,10.0
73,7.838588081499999,80.20667518833332,227.06204522134541,1,6,['Wira'],"[16, 20, 0]",0.7830666666666667,873.1789413666667,0,10.0
74,7.855411619666667,80.22104671444446,202.14180933300676,1,9,['Wira'],"[0, 8, 4]",0.7414,767.2894410222221,0,10.0
75,7.8438033806666665,80.22500481888888,192.29239771222916,1,9,['Wira'],"[16, 0, 4]",0.7589777777777778,1046.3582592,0,10.0
