longitude,HumanDistance,EleID,Hour,Year,LC_60.0,LC_90.0,LC_30.0,RoadDistance,TimeOfDay,LandCover2,NDVI_normalized,WaterDistance,Month,latitude,Datetime_standard,LC_80.0,Date_parsed,Elevation,LC_50.0,DayOfWeek,Day,LC_40.0,ElephantPresent,LC_20.0,LC_10.0,Name,Season,Protected
80.01243962,1074.996218,621993,16,,0,0,0,2892.327442,Afternoon,10.0,0.743,870.1255485,,7.788233213,,0,,42.0,0,,,0,1,0,1,Wira,,0
81.14669105,925.9239885,621512,16,2010.0,0,0,0,2379.167737,Afternoon,10.0,0.8907,374.4929702,3.0,6.174360026,2010-03-10 16:00:00,0,2010-03-10 00:00:00,12.0,0,2.0,10.0,0,1,0,1,Wanamali,Inter-Monsoon,1
81.31423093,5164.789866,621997,4,,0,0,1,2215.767134,Night,30.0,0.863,1825.806609,,7.563444711,,0,,83.0,0,,,0,1,0,0,Nalagiri,,1
81.54881611171832,3853.676619,0,20,2009.0,0,0,0,1704.866377,Evening,10.0,0.8738,2769.171735,11.0,6.874305406955365,2009-11-01 20:00:00,0,2009-11-01,28.0,0,6.0,1.0,0,0,0,1,Negative,Inter-Monsoon-2,1
80.03166323,721.0182525,621993,12,,0,0,0,4826.959652,Midday,10.0,0.7769,768.7043516,,7.840165181,,0,,63.0,0,,,0,1,0,1,Wira,,0
80.57703184173674,1174.857099,0,0,2010.0,0,0,0,2268.683864,Night,10.0,0.7293,1295.437886,9.0,7.683047423593706,2010-09-11 00:00:00,0,2010-09-11,321.0,0,5.0,11.0,0,0,0,1,Negative,Inter-Monsoon-2,0
80.78449245,1709.330395,621998,4,,0,0,1,543.2162168,Night,30.0,0.868,2561.128529,,8.099798066,,0,,129.0,0,,,0,1,0,0,Hurululiya,,1
80.56647515,546.8165778,621991,16,,0,0,0,795.0340009,Afternoon,10.0,0.7582,3293.115185,,7.952855771,,0,,119.0,0,,,0,1,0,1,Kala,,0
80.76405777,3538.889035,621999,8,2010.0,0,0,0,1427.346569,Early Morning,10.0,0.9045,4551.587934,2.0,8.07405248,2010-02-12 08:00:00,0,2010-02-12 00:00:00,156.0,0,4.0,12.0,0,1,0,1,Mihiri,Dry,1
80.79083795,2214.763575,622000,20,,0,0,1,245.3712199,Evening,30.0,0.8551,467.6275786,,8.28923034,,0,,125.0,0,,,0,1,0,0,Chandi,,0
83.61718896127762,401510.5496,0,12,2010.0,0,0,0,401204.4907,Midday,10.0,-0.2,398831.7056,5.0,5.751366520832462,2010-05-05 12:00:00,0,2010-05-05,84.0,0,2.0,5.0,0,0,0,1,Negative,Inter-Monsoon,0
81.16823861,2548.377641,621995,20,,0,0,0,661.1277019,Evening,10.0,0.6678,13457.98988,,8.127010965,,0,,25.0,0,,,0,1,0,1,Soma,,1
81.13355917,1788.333869,621992,12,2009.0,0,0,0,743.6190076,Midday,10.0,0.8063,1835.465569,12.0,6.322929443,2009-12-06 12:00:00,0,2009-12-06 00:00:00,68.0,0,6.0,6.0,0,1,0,1,Sakunthala,Dry,0
83.5349536710561,351.455844,0,20,2009.0,0,0,0,1070.236594,Evening,40.0,0.7758,1675.122865,12.0,7.008045938336238,2009-12-11 20:00:00,0,2009-12-11,10.0,0,4.0,11.0,1,0,0,0,Negative,Dry,0
82.46904348518943,2754.937194,0,4,2010.0,0,0,0,143.5193619,Night,40.0,0.7429,5609.338295,5.0,7.677859200268596,2010-05-11 04:00:00,0,2010-05-11,9.0,0,1.0,11.0,1,0,0,0,Negative,Inter-Monsoon,0
80.81418248,2605.952728,621990,20,,0,0,1,1798.239099,Evening,30.0,0.7721,6395.210198,,8.11885336,,0,,133.0,0,,,0,1,0,0,Samudra,,1
82.57321205089843,401510.5496,0,16,2010.0,0,0,0,401204.4907,Afternoon,10.0,-0.2,398831.7056,4.0,4.634621847306328,2010-04-05 16:00:00,0,2010-04-05,84.0,0,0.0,5.0,0,0,0,1,Negative,Inter-Monsoon,0
82.66537007084378,1449.497527,0,4,2009.0,0,0,0,480.4430664,Night,10.0,0.8402,5503.669844,11.0,6.109905526098207,2009-11-09 04:00:00,0,2009-11-09,16.0,0,0.0,9.0,0,0,0,1,Negative,Inter-Monsoon-2,1
80.59776126150862,1031.943558,0,8,2010.0,0,0,0,855.2706685,Early Morning,10.0,0.8393,973.6204234,2.0,5.840799576316228,2010-02-05 08:00:00,0,2010-02-05,18.0,0,4.0,5.0,0,0,0,1,Negative,Dry,0
80.7888614,1402.122043,621998,12,2010.0,0,0,0,298.5837382,Midday,10.0,0.8607,3203.382725,5.0,8.093875579,2010-05-03 12:00:00,0,2010-05-03 00:00:00,146.0,0,0.0,3.0,0,1,0,1,Hurululiya,Inter-Monsoon,1
81.17406946,4270.592316,621996,20,2009.0,0,0,0,3292.259226,Evening,40.0,0.6132,12956.40649,2.0,6.602225512,2009-02-12 20:00:00,0,2009-02-12 00:00:00,122.0,0,3.0,12.0,1,1,0,0,Ekes,Dry,0
84.31489349083925,351.455844,0,4,2009.0,0,0,0,1070.236594,Night,40.0,0.7758,1675.122865,11.0,7.057358935004659,2009-11-02 04:00:00,0,2009-11-02,10.0,0,0.0,2.0,1,0,0,0,Negative,Inter-Monsoon-2,0
80.80938343,1241.170916,621990,8,,0,0,0,1376.728454,Early Morning,10.0,0.873,4030.956025,,8.09379522,,0,,181.0,0,,,0,1,0,1,Samudra,,1
82.69785643511149,1449.497527,0,12,2009.0,0,0,0,480.4430664,Midday,10.0,0.8402,5503.669844,8.0,6.442035695297223,2009-08-08 12:00:00,0,2009-08-08,16.0,0,5.0,8.0,0,0,0,1,Negative,Southwest-Monsoon,1
81.15415765,5951.148984,621995,4,,0,0,0,2033.05388,Night,10.0,0.7681,9886.936705,,8.097654941,,0,,31.0,0,,,0,1,0,1,Soma,,1
81.23691498681853,417.9268672,0,4,2010.0,1,0,0,1115.048663,Night,60.0,0.6874,1011.359446,9.0,4.404888931127435,2010-09-01 04:00:00,0,2010-09-01,10.0,0,2.0,1.0,0,0,0,0,Negative,Inter-Monsoon-2,0
80.83332155,2255.912889,622001,12,,0,0,0,4122.999464,Midday,10.0,0.8675,4411.391296,,8.129752382,,0,,94.0,0,,,0,1,0,1,Nancy,,1
81.20523408558769,3591.215418,0,4,2010.0,0,0,1,2891.619566,Night,30.0,0.8978,15693.14107,4.0,7.091505722989558,2010-04-04 04:00:00,0,2010-04-04,79.0,0,6.0,4.0,0,0,0,0,Negative,Inter-Monsoon,1
80.89180107783915,415.3217447,0,0,2009.0,0,0,0,2418.115778,Night,40.0,0.3554,3776.466231,12.0,7.755241673680656,2009-12-01 00:00:00,0,2009-12-01,50.0,0,1.0,1.0,1,0,0,0,Negative,Dry,0
80.95777706,3502.913861,621990,8,2010.0,0,0,0,2136.929643,Early Morning,10.0,0.714,986.8771291,9.0,7.905391547,2010-09-06 08:00:00,0,2010-09-06 00:00:00,65.0,0,0.0,6.0,0,1,0,1,Samudra,Inter-Monsoon-2,0
81.33449436611876,1848.979999,0,0,2010.0,0,0,0,3404.336118,Night,10.0,0.8707,6113.527868,4.0,8.116460358446744,2010-04-03 00:00:00,0,2010-04-03,33.0,0,5.0,3.0,0,0,0,1,Negative,Inter-Monsoon,0
81.6451152,1322.720824,621513,4,,0,0,0,1252.171921,Night,10.0,0.7965,7609.830996,,7.335475783,,0,,53.0,0,,,0,1,0,1,Sugala,,0
81.99483465782394,1449.497527,0,12,2010.0,0,0,0,480.4430664,Midday,10.0,0.8402,5503.669844,9.0,6.780439564405614,2010-09-10 12:00:00,0,2010-09-10,16.0,0,4.0,10.0,0,0,0,1,Negative,Inter-Monsoon-2,1
80.77298708,3075.828421,621998,16,2009.0,0,0,1,742.8067011,Afternoon,30.0,0.8987,3893.791466,12.0,8.093016791,2009-12-09 16:00:00,0,2009-12-09 00:00:00,146.0,0,2.0,9.0,0,1,0,0,Hurululiya,Dry,1
83.14979184660636,351.455844,0,16,2010.0,0,0,0,1070.236594,Afternoon,40.0,0.7758,1675.122865,4.0,7.534940635404109,2010-04-12 16:00:00,0,2010-04-12,10.0,0,0.0,12.0,1,0,0,0,Negative,Inter-Monsoon,0
83.38662706985797,401510.5496,0,12,2010.0,0,0,0,401204.4907,Midday,10.0,-0.2,398831.7056,1.0,5.0359511294142365,2010-01-06 12:00:00,0,2010-01-06,84.0,0,2.0,6.0,0,0,0,1,Negative,Dry,0
82.38658249174865,401510.5496,0,16,2009.0,0,0,0,401204.4907,Afternoon,10.0,-0.2,398831.7056,11.0,4.294528687939684,2009-11-12 16:00:00,0,2009-11-12,84.0,0,3.0,12.0,0,0,0,1,Negative,Inter-Monsoon-2,0
81.13824228148741,417.9268672,0,12,2009.0,1,0,0,1115.048663,Midday,60.0,0.6874,1011.359446,11.0,5.95904462307005,2009-11-06 12:00:00,0,2009-11-06,10.0,0,4.0,6.0,0,0,0,0,Negative,Inter-Monsoon-2,0
82.55357332924075,318.8917127,0,8,2010.0,0,0,0,283.3800832,Early Morning,10.0,0.829,51.41555241,3.0,4.846544913247222,2010-03-07 08:00:00,0,2010-03-07,15.0,0,6.0,7.0,0,0,0,1,Negative,Inter-Monsoon,1
81.19708042,2340.44784,621995,8,2010.0,0,0,0,2858.186205,Early Morning,10.0,0.761,1360.752762,9.0,8.133872551,2010-09-10 08:00:00,0,2010-09-10 00:00:00,12.0,0,4.0,10.0,0,1,0,1,Soma,Inter-Monsoon-2,1
81.71120088,2564.290333,621514,0,2010.0,0,0,0,1871.016872,Night,10.0,0.8089,1103.796045,2.0,7.326294733,2010-02-06 00:00:00,0,2010-02-06 00:00:00,23.0,0,5.0,6.0,0,1,0,1,Udani,Dry,0
80.13518234557452,914.9704122,0,0,2010.0,0,0,0,1233.423094,Night,10.0,0.8271,1509.73285,1.0,6.901036341269924,2010-01-06 00:00:00,0,2010-01-06,44.0,0,2.0,6.0,0,0,0,1,Negative,Dry,0
81.17467108,4810.328521,621996,4,,0,0,0,3600.483362,Night,10.0,0.8151,907.4854502,,6.563517131,,0,,125.0,0,,,0,1,0,1,Ekes,,0
