corridor_id,from_node,to_node,distance_meters,usage_count,crossing_count,active_hours,bidirectional,safety_score,avg_human_distance
4-5,4,5,1770.562820395636,1,4,"[12, 4, 16]",True,39.277096316862426,1534.6370396078032
4-6,4,6,5568.403598106738,1,2,"[4, 20]",True,37.64237193287671,1330.2964916095889
1-6,1,6,13104.108843074253,1,2,[20],True,44.37618149441301,2172.022686801626
4-7,4,7,2085.0187979105544,1,3,"[4, 8]",True,38.17409288952909,1396.7616111911366
6-7,6,7,3495.5918494894695,1,1,[12],True,40.25647228468095,1657.059035585119
6-8,6,8,21016.427179291335,1,1,[20],True,36.28971933199004,1161.2149164987554
0-8,0,8,2775.1718217413613,1,4,"[12, 20, 16]",True,36.86294942854357,1232.8686785679467
8-9,8,9,2262.805670050397,1,3,"[16, 0, 12]",True,40.70673889385811,1713.3423617322637
3-9,3,9,4041.1351277955023,1,4,"[0, 12, 8]",True,62.40764440952725,2550.955551190906
3-10,3,10,3426.8838124411154,1,9,"[20, 16, 12, 0]",True,69.0567077876449,3382.088473455612
1-10,1,10,5614.975605178027,1,2,"[8, 20]",True,55.44226443439872,3555.28305429984
9-10,9,10,1982.8333565560251,1,1,[20],True,55.20785382988235,3525.981728735294
1-11,1,11,2164.6535567734645,1,2,"[12, 20]",True,42.148126454948724,1893.5158068685903
2-12,2,12,3106.632175482948,1,1,[16],True,43.304265348014894,2038.0331685018614
12-13,12,13,1290.9085060240288,1,1,[12],True,38.57628025557204,1447.0350319465044
13-14,13,14,820.8236239994195,1,2,"[16, 12]",True,37.11231485125714,1264.0393564071428
1-13,1,13,6514.786164385682,1,1,[16],True,41.948724474455865,1868.590559306983
5-6,5,6,4591.245516978681,1,1,[20],True,41.35947571201429,1794.9344640017857
1-5,1,5,8590.532914642601,1,1,[0],True,46.01090587839872,2376.36323479984
0-6,0,6,21110.46199056244,1,1,[20],True,40.297981424582105,1662.247678072763
0-3,0,3,8981.803236123107,1,1,[20],True,58.56385494421271,2070.481868026589
16-17,16,17,15745.176299950077,1,2,"[16, 8]",True,49.621653604750755,2827.7067005938443
17-18,17,18,2962.3341637001827,1,8,"[12, 16, 20]",True,52.189919418816324,3148.7399273520405
18-19,18,19,1773.2866350342279,1,2,[16],True,59.9597091824,4119.963647799999
17-19,17,19,3023.8431346525927,1,20,"[12, 20, 0, 16, 8]",True,57.14107388521633,3767.634235652041
19-24,19,24,17424.13378502526,1,1,[20],True,70.311124562,3538.8905702499997
20-24,20,24,1840.82162486704,1,4,"[12, 8, 0]",True,76.5757555716,2446.96944645
15-20,15,20,6092.211665034774,1,1,[16],True,61.868800964883064,2483.600120610383
15-21,15,21,11649.408364275418,1,18,"[20, 0, 8, 16, 12]",True,47.32510886072921,2540.6386075911514
16-21,16,21,22394.45051905318,1,1,[20],True,49.11238227378058,2764.047784222573
16-19,16,19,12800.533270751419,1,1,[16],True,57.39144336833442,3798.930421041803
15-24,15,24,5521.322555933367,1,5,"[8, 4, 12, 16]",True,61.00443086848306,2375.5538585603827
20-21,20,21,8889.784262093832,1,1,[20],True,62.89643356384615,2612.054195480769
21-25,21,25,18480.53197251053,1,1,[12],True,64.26181335634615,2782.726669543269
25-26,25,26,2222.3371630462902,1,3,"[8, 20]",True,73.04804127418889,2006.0051592736113
26-27,26,27,1183.5862594027901,1,4,"[0, 16, 12]",True,69.17577467008888,1521.9718337611112
25-27,25,27,1039.067705313097,1,2,"[0, 4]",True,76.2986186489,2412.3273311125
15-26,15,26,25564.098572538795,1,1,[16],True,56.11133677857195,1763.9170973214937
15-28,15,28,7049.179516831882,1,4,"[12, 20, 16]",True,49.721267076883066,2840.1583846103827
15-29,15,29,4247.209947695242,1,7,"[0, 12, 20, 4, 16]",True,40.27543430536306,1659.4292881703827
15-30,15,30,8022.982103669454,1,5,"[8, 12, 20]",True,42.14436853524306,1893.0460669053828
29-30,29,30,4226.742158537544,1,1,[20],True,36.12232657884,1140.2908223550003
32-158,32,158,3657.064213998102,1,1,[4],True,75.32085414394285,2290.1067679928574
32-33,32,33,9072.389261391225,1,1,[16],True,68.99203841362555,1499.004801703194
34-35,34,35,2241.0079100558064,1,3,"[16, 12, 8]",True,86.75380250555172,3719.225313193965
34-158,34,158,3425.5438367800557,1,1,[20],True,89.28595938955172,4035.744923693965
36-158,36,158,3543.0825962563526,1,1,[4],True,78.74324728657714,2717.9059108221427
33-37,33,37,28238.862928945404,1,2,[20],True,59.21701823574251,2152.1272794678134
37-38,37,38,3078.2126887360896,1,3,"[12, 20]",True,64.34034558663124,2792.5431983289054
37-39,37,39,22796.341231632272,1,1,[20],True,55.709801505509816,1713.7251881887269
39-40,39,40,1860.4814371287625,1,2,[12],True,67.97737822245,1372.17227780625
34-40,34,40,4812.086155650489,1,2,[16],True,79.67069593655172,2833.8369920689647
31-34,31,34,4592.795367266156,1,2,[8],True,92.01400354009718,4376.750442512147
